Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Speed,Max Speed,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Avg Bike Cadence,Max Bike Cadence,Normalized Power® (NP®),Training Stress Score®,Max Avg Power (20 min),Avg Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Avg Resp,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Min Resp,Max Resp
Treadmill Running,17-04-19 11:58,FALSE,Treadmill Running,5.04,377,0:32:46,141,171,3.3,155,167,6:30,5:12,4,--,0.99,10.3,10.4,295,48.7% L / 51.3% R,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,25,0:00,No,00:15.6,6,0,--,--
Treadmill Running,16-04-19 11:55,FALSE,Treadmill Running,5.05,382,0:33:12,142,164,3.4,153,159,6:35,5:05,3,--,1,10.9,11,299,49.0% L / 51.0% R,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,26,0:00,No,00:19.8,6,0,--,--
Open Water Swimming,15-04-19 16:32,FALSE,Port Phillip Bay Open Water Swimming,"2,108",461,0:37:07,--,--,--,--,--,1:46,0:48,--,--,0,0,0,--,--,--,--,--,0,--,--,--,0,0,1121,40,30,--,0:00,19,0:00,No,00:00.0,1,0,--,--
Running,14-04-19 8:50,FALSE,Melbourne Running,14.16,"1,066",1:38:57,146,160,3.1,147,195,6:59,4:47,32,31,0.93,10,9.2,339,50.8% L / 49.2% R,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,18,0:00,No,01:12.6,15,0,--,--
Running,14-04-19 6:35,FALSE,Melbourne Running,10.22,676,1:06:32,140,157,3.1,147,181,6:31,4:45,1,6,1.01,10.6,10.6,291,50.5% L / 49.5% R,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,17,0:00,No,01:42.4,11,0,--,--
Running,13-04-19 13:15,FALSE,Melbourne Running,2.05,169,0:14:41,140,150,2.6,143,171,7:10,5:03,1,--,0.93,10.6,9.4,342,51.3% L / 48.7% R,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,22,0:00,No,00:26.8,3,0,--,--
Cycling,13-04-19 5:57,FALSE,Melbourne Cycling,160.16,"2,482",5:57:48,140,168,--,--,--,26.9,52.5,681,671,0,0,0,--,--,67,103,144,308.2,143,119,594,0,0,21463,--,--,--,0:00,10,0:00,No,00:41.2,161,0,--,--
Running,11-04-19 6:43,FALSE,Melbourne Running,1.23,77,06:38.4,143,156,2.1,164,180,5:25,4:10,5,6,1,10.2,9.8,270,50.1% L / 49.9% R,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,18,0:00,No,01:19.6,2,0,--,--
Cycling,11-04-19 5:29,FALSE,Melbourne Cycling,31.78,528,1:06:40,133,157,--,--,--,28.6,50.3,145,141,0,0,0,--,--,70,90,161,71.4,150,136,544,0,0,4312,--,--,--,0:00,11,0:00,No,01:38.8,32,0,--,--
Treadmill Running,10-04-19 12:00,FALSE,Treadmill Running,5.05,369,0:32:59,139,166,3.1,153,183,6:32,5:05,1,--,1,10.5,10.7,304,49.8% L / 50.2% R,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,25,0:00,No,00:16.6,6,0,--,--
